Filename	"Image Type"	"Instance Number"	"Number of Frames"	"Pixel Spacing"	"Specimen Label in Image"	"Number of Optical Paths"	"Total Pixel Matrix Focal Planes"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.5.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"140"	"0.000500\0.000500"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.6.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"6"	"560"	"0.000250\0.000250"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.7.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"7"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 104709 [HE Liver 40x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.922101.8.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"8"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.1.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"1"	"1"	"0.007440\0.007440"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.2.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"4"	"0.003720\0.003720"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.3.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"9"	"0.001860\0.001860"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.4.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"30"	"0.000930\0.000930"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.5.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"5"	"108"	"0.000465\0.000465"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.6.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"6"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 105131 [HE Liver 20x z1]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.208817.7.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"7"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.1.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"1"	"3"	"0.014880\0.014880"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.2.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"2"	"6"	"0.007440\0.007440"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.3.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"3"	"18"	"0.003720\0.003720"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.4.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"4"	"54"	"0.001860\0.001860"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.5.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"198"	"0.000930\0.000930"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.6.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"6"	"792"	"0.000465\0.000465"	"NO"	"1"	"3"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.7.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"7"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Diagnostics^Roche^Tissue [0010]/20200731 120956 [TriChrome Grn 20]/Series 001 [SM]/2.16.840.1.113995.3.110.3.0.10118.2000002.657111.8.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"8"	"1"	"0.021166\0.021166"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.173648596820938096199028939965251554503.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"3"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.181487944453580109633363498147571426374.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"2"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.191907898033754830752233761154920949936.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"10"	"1"	"0.0155294\0.0155222"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.209236321826383427842899333369775338594.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"11"	"1"	"0.0310588\0.0310444"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.222943316513786317622687980099326639180.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"8"	"6"	"0.0038824\0.0038806"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.251277550657103455222613143487830679046.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"4"	"1271"	"0.0002426\0.0002425"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.253973508129488054885063915385651983009.dcm"	"DERIVED\PRIMARY\REGIONLOCALIZER\RESAMPLED"	"1"	"1"	""	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.259312801889857550164526960213815274816.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"9"	"2"	"0.0077647\0.0077611"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.264278491200307498225194538752823371217.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"13"	"1"	"0.1242353\0.1241778"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.290884199110265475119989552423006928136.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"336"	"0.0004853\0.0004851"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.315427219625170954090644500893748466389.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"6"	"88"	"0.0009706\0.0009701"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.339652625381363485545547336547695948130.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"12"	"1"	"0.0621176\0.0620889"	"NO"	"1"	"1"
"./Histech^Samantha [1229631]/20190104 140000 [Case S - Colon polyps]/Series 000 [SM]/2.25.98447601926716844575918590187306802549.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"7"	"24"	"0.0019412\0.0019403"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.111454577819918515926489701058493557552.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"4"	"10824"	"0.0002426\0.0002425"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.115442345465630295230446774145968138330.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"3"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.118421754895639152386137763112696551062.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"1504"	"0.0004853\0.0004851"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.118525694392223360259815932751273373311.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"6"	"384"	"0.0009706\0.0009701"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.134820259104112000547879815227611217294.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"10"	"2"	"0.0155294\0.0155222"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.163437518616784061856739665477974199832.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"2"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.166641592137404741464010620982983249118.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"2706"	"0.0004853\0.0004851"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.168957501075308199825136672069508190108.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"8"	"24"	"0.0038824\0.0038806"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.18010189862110934451672752098268663283.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"13"	"1"	"0.1242353\0.1241778"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.183102030011063386717294505670946430553.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"12"	"1"	"0.0621176\0.0620889"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.187086178819381538089193402185022453663.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"10"	"6"	"0.0155294\0.0155222"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.205297998729372793967793595026631297556.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"4"	"5859"	"0.0002426\0.0002425"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.220001858485404352286023516640150509195.dcm"	"DERIVED\PRIMARY\REGIONLOCALIZER\RESAMPLED"	"1"	"1"	""	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.231896281549030369487042280447616527925.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"9"	"15"	"0.0077647\0.0077611"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.243857295279589362332144809050221646561.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"11"	"1"	"0.0310588\0.0310444"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.264981274761447521254050002073163098092.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"3"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.269819532085972799841463681867498787412.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"7"	"96"	"0.0019412\0.0019403"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.271187998514509181819204832184595220509.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"11"	"2"	"0.0310588\0.0310444"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.2813335096997433970370338101457212818.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"8"	"54"	"0.0038824\0.0038806"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.289697259966598057248435675181389089388.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"2"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.292928717671895304626938729424960008208.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"7"	"187"	"0.0019412\0.0019403"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.339084695232734789275288913828453916713.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"12"	"1"	"0.0621176\0.0620889"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.35208497863129351417607614679894692931.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"6"	"693"	"0.0009706\0.0009701"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.37079349305630690524145454222852731844.dcm"	"DERIVED\PRIMARY\REGIONLOCALIZER\RESAMPLED"	"1"	"1"	""	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.78271868168940788471240762086981851944.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"13"	"1"	"0.1242353\0.1241778"	"NO"	"1"	"1"
"./Histech^Theresa [1473843]/20190105 170000 [Case T - Placenta]/Series 000 [SM]/2.25.8784241813123338112230370059566273595.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"9"	"6"	"0.0077647\0.0077611"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.105385806696780973354062085940922834776.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"3"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.124329954889970687452039798062156684144.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"10"	"1"	"0.0155294\0.0155222"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.130677482396510763938965408384237300429.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"13"	"1"	"0.1242353\0.1241778"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.134329849923331083138913593624119179213.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"13"	"1"	"0.1242353\0.1241778"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.136415621704301561744477133993384163634.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"9"	"6"	"0.0077647\0.0077611"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.137813155305924658916653671456477829141.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"11"	"1"	"0.0310588\0.0310444"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.151174412157929825381897456562212808543.dcm"	"DERIVED\PRIMARY\REGIONLOCALIZER\RESAMPLED"	"1"	"1"	""	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.15888351280107855509766035845080521143.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"4"	"2580"	"0.0002426\0.0002425"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.166273155841158222448067766313725215188.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"10"	"2"	"0.0155294\0.0155222"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.185740477918194554466307567602998768085.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"2"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.185837180456664500794697915683937565997.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"6"	"230"	"0.0009706\0.0009701"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.193860594559971413756833928798884249912.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"12"	"1"	"0.0621176\0.0620889"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.207694788490005489587178430466739822605.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"920"	"0.0004853\0.0004851"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.209127436232451270600065980605728247932.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"6"	"165"	"0.0009706\0.0009701"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.217186406697815790113137365340322623931.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"9"	"4"	"0.0077647\0.0077611"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.217921318287939682599989607353668076748.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"8"	"12"	"0.0038824\0.0038806"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.260953912169782017817114314723582925233.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"7"	"60"	"0.0019412\0.0019403"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.300616692410198729516226201726186798523.dcm"	"ORIGINAL\PRIMARY\VOLUME\NONE"	"4"	"3588"	"0.0002426\0.0002425"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.39154844753156015564882363993801505304.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"7"	"48"	"0.0019412\0.0019403"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.4335600487673873659522243922413096149.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"11"	"1"	"0.0310588\0.0310444"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.49114812251128299572206131203552101950.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"5"	"660"	"0.0004853\0.0004851"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.50741906812895209386342063063980512484.dcm"	"DERIVED\PRIMARY\REGIONLOCALIZER\RESAMPLED"	"1"	"1"	""	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.70340285808540170036906777726535236333.dcm"	"ORIGINAL\PRIMARY\OVERVIEW\NONE"	"3"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.7452446701599995554743708734852338800.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"12"	"1"	"0.0621176\0.0620889"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.90330368410540157729680631861205466724.dcm"	"DERIVED\PRIMARY\VOLUME\RESAMPLED"	"8"	"18"	"0.0038824\0.0038806"	"NO"	"1"	"1"
"./Histech^Ulysses [2588367]/20190214 140000 [Case U - Skin excision]/Series 000 [SM]/2.25.94610553700630081219981733409965654147.dcm"	"ORIGINAL\PRIMARY\LABEL\NONE"	"2"	"1"	"0.1\0.1"	"YES"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.1117017956562563587405436163803328898.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"4"	"308"	"0.003992\0.003992"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.1323083954976284203903811793739582213.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"5"	"77"	"0.007984\0.007984"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.1605484879875100677557580548630075320.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"3"	"1161"	"0.001996\0.001996"	"NO"	"1"	"1"
"./nference^patient [AKq32AMr]/20200924 120527 [1]/Series 001 [SM]/1.2.826.0.1.3680043.10.559.1616976284555786010108136974888604751.dcm"	"ORIGINAL\PRIMARY\VOLUME\RESAMPLED"	"7"	"6"	"0.031936\0.031936"	"NO"	"1"	"1"
